WellId,monthly_worth
1,"207, 150, 62, 55, 279, 105, 51, 186, 218, 58, 160, 240"
2,"244, 186, 155, 34, 96, 182, 49, 190, 191, 59, 289, 183"
3,"133, 35, 188, 176, 31, 30, 268, 145, 110, 131, 131, 177"
4,"164, 51, 149, 226, 197, 112, 77, 153, 156, 165, 168, 119"
5,"218, 225, 33, 102, 227, 257, 230, 63, 279, 257, 283, 277"
6,"223, 181, 100, 197, 43, 253, 299, 247, 138, 42, 142, 59"
7,"158, 254, 103, 117, 173, 274, 183, 277, 87, 129, 96, 252"
8,"154, 172, 110, 199, 289, 205, 33, 57, 92, 107, 227, 177"
9,"294, 216, 124, 108, 184, 97, 200, 260, 179, 281, 286, 184"
10,"59, 76, 233, 239, 58, 190, 109, 197, 143, 274, 228, 113"
11,"161, 150, 81, 298, 185, 77, 298, 272, 246, 299, 107, 278"
12,"206, 277, 278, 158, 31, 78, 198, 243, 195, 228, 294, 80"
13,"35, 264, 122, 62, 73, 34, 196, 196, 266, 37, 217, 104"
14,"187, 178, 186, 156, 121, 92, 267, 41, 288, 161, 87, 230"
15,"261, 85, 252, 286, 38, 188, 85, 233, 264, 76, 253, 141"
16,"254, 148, 255, 139, 207, 52, 133, 180, 99, 152, 231, 258"
17,"283, 93, 157, 215, 196, 171, 228, 215, 136, 185, 131, 209"
18,"137, 242, 161, 239, 284, 62, 142, 262, 139, 259, 230, 136"
19,"158, 237, 77, 174, 211, 249, 193, 267, 205, 283, 271, 181"
20,"269, 225, 188, 178, 177, 167, 151, 148, 134, 101, 91, 56"
21,"251, 227, 183, 84, 267, 118, 218, 264, 141, 244, 87, 256"
22,"133, 197, 214, 35, 189, 244, 173, 201, 38, 279, 60, 197"
23,"146, 102, 108, 102, 91, 37, 280, 202, 88, 297, 186, 91"
24,"284, 199, 177, 255, 137, 48, 168, 270, 38, 124, 266, 217"
25,"74, 240, 279, 205, 75, 247, 34, 41, 84, 259, 114, 140"
26,"108, 244, 275, 277, 217, 108, 209, 272, 227, 256, 120, 89"
27,"226, 76, 154, 69, 59, 84, 300, 286, 244, 99, 119, 234"
28,"236, 277, 99, 220, 93, 55, 154, 137, 106, 227, 55, 200"
29,"87, 155, 46, 151, 30, 191, 288, 31, 189, 216, 282, 278"
30,"206, 54, 207, 65, 165, 38, 283, 225, 298, 76, 202, 52"
31,"111, 163, 209, 95, 90, 94, 52, 72, 216, 241, 254, 209"
32,"125, 149, 280, 249, 234, 52, 128, 254, 188, 213, 265, 129"
33,"70, 109, 132, 144, 129, 256, 166, 46, 67, 201, 258, 108"
34,"176, 273, 184, 166, 131, 36, 164, 228, 50, 219, 79, 208"
35,"283, 130, 151, 263, 266, 41, 85, 199, 43, 118, 30, 144"
36,"193, 121, 168, 53, 173, 47, 179, 152, 90, 56, 56, 144"
37,"114, 88, 127, 109, 216, 121, 131, 89, 160, 38, 39, 279"
38,"121, 35, 59, 257, 123, 44, 117, 100, 159, 244, 107, 278"
39,"100, 105, 276, 185, 81, 277, 240, 49, 274, 283, 254, 170"
40,"220, 283, 84, 243, 250, 41, 113, 35, 50, 41, 84, 205"
41,"66, 112, 172, 184, 92, 283, 130, 286, 81, 271, 185, 34"
42,"122, 62, 174, 232, 36, 59, 293, 252, 192, 64, 223, 162"
43,"106, 293, 97, 56, 174, 125, 76, 254, 30, 111, 49, 231"
44,"267, 275, 77, 114, 73, 196, 242, 183, 208, 201, 219, 268"
45,"245, 228, 228, 112, 76, 156, 192, 280, 133, 197, 106, 78"
46,"85, 107, 145, 194, 273, 103, 265, 49, 299, 85, 169, 100"
47,"154, 299, 249, 252, 189, 119, 194, 223, 197, 266, 258, 144"
48,"238, 288, 98, 210, 47, 139, 136, 202, 113, 283, 86, 200"
49,"288, 156, 193, 92, 224, 237, 255, 239, 66, 198, 275, 150"
50,"236, 133, 71, 233, 218, 187, 77, 300, 55, 135, 41, 62"
51,"174, 246, 138, 213, 158, 164, 105, 49, 188, 245, 250, 144"
52,"252, 130, 161, 124, 184, 229, 194, 34, 278, 93, 74, 234"
53,"231, 200, 170, 225, 52, 293, 75, 60, 265, 119, 248, 104"
54,"275, 92, 194, 45, 42, 292, 239, 100, 258, 154, 257, 100"
55,"181, 244, 100, 44, 266, 166, 51, 105, 203, 214, 97, 183"
56,"219, 57, 200, 113, 191, 175, 226, 273, 205, 50, 232, 223"
57,"129, 254, 104, 279, 244, 207, 291, 176, 154, 251, 207, 248"
58,"182, 172, 49, 114, 156, 91, 39, 62, 251, 97, 241, 96"
59,"283, 119, 119, 177, 139, 290, 286, 211, 36, 70, 249, 205"
60,"350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350, 350"
61,"156, 37, 228, 299, 186, 157, 160, 86, 100, 109, 286, 161"
62,"87, 48, 206, 226, 146, 30, 85, 275, 225, 134, 262, 197"
63,"271, 169, 263, 43, 115, 298, 59, 265, 234, 223, 161, 298"
64,"243, 274, 62, 281, 81, 133, 78, 146, 186, 237, 129, 194"
65,"145, 102, 281, 86, 89, 59, 97, 142, 122, 131, 245, 185"
66,"300, 219, 268, 273, 49, 220, 265, 41, 174, 80, 167, 219"
67,"258, 253, 282, 284, 281, 253, 268, 53, 165, 174, 37, 245"
68,"230, 76, 195, 52, 160, 152, 81, 284, 76, 247, 129, 290"
69,"60, 90, 256, 216, 200, 276, 50, 253, 169, 86, 196, 45"
70,"170, 155, 175, 293, 229, 49, 275, 291, 264, 153, 242, 285"
71,"108, 141, 92, 300, 162, 233, 258, 70, 88, 187, 39, 252"
72,"246, 157, 267, 285, 145, 125, 219, 177, 135, 100, 35, 134"
73,"216, 169, 55, 44, 162, 252, 257, 50, 193, 133, 138, 262"
74,"129, 125, 188, 224, 139, 256, 210, 262, 59, 126, 232, 270"
75,"275, 155, 173, 185, 199, 211, 299, 133, 221, 204, 123, 192"
76,"160, 188, 84, 178, 262, 244, 233, 179, 100, 151, 267, 60"
77,"127, 202, 101, 260, 181, 42, 112, 54, 53, 268, 87, 39"
78,"258, 188, 143, 57, 88, 273, 88, 207, 253, 214, 229, 168"
79,"109, 56, 267, 55, 238, 88, 205, 210, 246, 57, 117, 271"
80,"256, 175, 103, 263, 209, 230, 177, 235, 123, 242, 35, 166"
81,"114, 131, 272, 193, 292, 145, 284, 49, 66, 167, 97, 68"
82,"140, 264, 41, 31, 34, 295, 253, 183, 228, 195, 255, 190"
83,"284, 144, 242, 267, 219, 92, 193, 249, 166, 242, 32, 249"
84,"30, 124, 266, 78, 289, 101, 114, 282, 229, 41, 130, 134"
85,"143, 71, 236, 276, 141, 247, 276, 73, 275, 56, 196, 286"
86,"234, 69, 282, 264, 63, 55, 272, 109, 129, 124, 89, 67"
87,"154, 100, 225, 295, 246, 62, 73, 200, 32, 163, 291, 291"
88,"234, 184, 171, 189, 32, 192, 58, 233, 45, 149, 61, 173"
89,"115, 33, 111, 113, 258, 39, 239, 271, 183, 87, 94, 198"
90,"117, 167, 70, 202, 212, 72, 87, 296, 90, 200, 93, 60"
91,"71, 146, 153, 168, 87, 45, 268, 55, 167, 90, 146, 214"
92,"252, 37, 51, 251, 134, 249, 91, 219, 203, 146, 58, 97"
93,"104, 258, 215, 249, 84, 256, 207, 219, 159, 37, 30, 219"
94,"254, 245, 279, 197, 173, 139, 78, 112, 264, 165, 277, 288"
95,"129, 198, 113, 151, 158, 242, 114, 268, 206, 294, 189, 74"
96,"72, 242, 43, 294, 191, 138, 285, 268, 34, 97, 95, 272"
97,"35, 196, 230, 274, 207, 274, 266, 174, 131, 243, 31, 132"
98,"217, 65, 254, 282, 254, 30, 266, 149, 76, 90, 69, 142"
99,"70, 287, 154, 197, 208, 146, 262, 50, 200, 103, 258, 185"
100,"110, 34, 42, 217, 259, 51, 99, 152, 238, 285, 171, 282"
101,"93, 194, 266, 182, 146, 105, 217, 194, 55, 200, 219, 93"
102,"250, 278, 250, 269, 152, 191, 293, 269, 76, 250, 171, 35"
103,"149, 201, 111, 252, 59, 153, 59, 41, 40, 256, 253, 234"
104,"38, 170, 177, 212, 183, 131, 142, 106, 154, 264, 50, 110"
105,"60, 58, 232, 135, 251, 169, 181, 165, 41, 252, 38, 197"
106,"248, 96, 300, 66, 46, 168, 171, 194, 213, 41, 32, 121"
107,"144, 123, 135, 207, 258, 57, 83, 232, 31, 91, 100, 219"
108,"91, 226, 67, 253, 95, 59, 184, 222, 201, 99, 114, 299"
109,"237, 48, 104, 274, 152, 210, 128, 67, 217, 243, 75, 44"
