WellId,WellValueA,WellValueB,WellValueC,WellExpensesA,WellExpensesB,WellExpensesC,WellRankA,WellRankB,WellRankC,WellGroupCode,IsValidCode,OptimalBuyingMonth,OptimalSellingMonth
1,420,637,330,93,0,77,13519,11516,15476,fddbecb,1,3,4
2,494,334,254,0,0,58,9821,16918,7520,gefcfdf,1,3,10
3,395,841,761,0,60,94,15056,13919,11699,cdgcgba,1,5,6
4,294,123,248,100,79,31,17139,16912,10074,dffecec,0,1,3
5,565,728,891,39,74,73,9824,18735,14714,cheddfc,1,2,10
6,887,890,90,0,89,0,17724,17705,18382,ebbdbfg,1,4,6
7,405,887,556,65,0,17,13988,10647,4143,ahbaefh,1,8,11
8,241,758,427,67,95,0,12008,6680,15537,cbadcaa,0,6,10
9,118,725,685,19,19,32,13509,14629,11230,aeacceg,0,5,10
10,272,520,119,71,19,32,10040,6219,2867,cchafah,0,4,9
11,329,202,676,79,0,26,5575,7332,17232,dbhgadh,1,5,9
12,599,788,170,28,0,0,15517,11452,2228,chacefg,1,4,10
13,15,649,775,99,99,28,15669,6092,15425,hcdcadh,0,5,8
14,677,886,568,57,95,56,7966,2049,14591,aaefebg,1,7,8
15,954,473,233,0,0,29,13219,8619,3057,bhhbbaa,0,4,8
16,783,412,676,0,0,30,10103,5842,5079,ebfecbg,1,5,11
17,626,869,850,72,77,63,15084,3903,13385,cdhccfe,1,1,6
18,841,568,520,58,0,0,5673,6049,15249,ahggedc,1,5,7
19,636,406,92,26,0,27,14213,1742,1658,bdgghah,1,2,9
20,477,495,313,93,35,70,5350,1914,17754,hggddaa,0,-1,-1
21,52,16,655,33,26,98,10812,16301,11047,gfedffh,1,3,4
22,451,246,630,16,60,0,19053,3576,17837,gecbgdd,1,3,9
23,952,709,988,56,0,78,6792,16821,10242,fefgdce,1,5,9
24,824,71,974,95,35,63,10578,3424,1810,fhaaebd,1,8,10
25,267,81,613,0,0,0,6672,16623,18877,eheebdc,1,6,9
26,480,368,170,0,21,61,9146,7905,1963,dchceed,0,0,3
27,595,853,989,0,31,0,1662,4305,1496,ffgcdbb,1,4,6
